タイトル,視聴回数,高評価数,リンク,配信開始日時,動画時間,サムネイルID
【自己紹介】初めまして、見習い神官のマール・アストレアです！癒されに来ませんか？【VTuber / マール・アストレア】,45698,852,https://youtu.be/nff3pqxC6Qc?si=l9z2OFKGFZxsuX-K,2023/08/31 20:00:09,0:03:36,nff3pqxC6Qc
【初配信】初めまして!!【VTuber / マール・アストレア】,25577,547,https://youtu.be/EJTzZ6ibXIo?si=d2kCSy9Xh93MzlQk,2023/10/11 21:08:02,0:59:30,EJTzZ6ibXIo
【雑談】初配信振り返り晩酌雑談！皆で飲むよおお！【VTuber / マール・アストレア】,12289,349,https://youtu.be/j2tV2IKXY5Q?si=W73lesOEnSqmxeBj,2023/10/12 23:01:23,1:52:08,j2tV2IKXY5Q
【歌枠】リクエスト歌枠！見習い神官歌います！【VTuber / マール・アストレア】,10841,339,https://youtu.be/XObLXfffgD4?si=IqAXHzTGDZHdlRrF,2023/10/15 23:34:06,1:35:31,XObLXfffgD4
【夜間警備】人生初の夜間警備！気合でクリア目指します!!【VTuber / マール・アストレア】,9177,249,https://youtu.be/qP17ngckfm0?si=SFpUirKTdY12_vwD,2023/10/18 22:26:52,2:50:02,qP17ngckfm0
【コラボ雑談】一週間お疲れ様！初！みりまる晩酌雑談コラボ!!ゆっくりまったりお話ししましょう！【VTuber / マール・アストレア】,13223,308,https://youtu.be/bO2YXKfK9TY?si=H8-C-jinN1AqWtFU,2023/10/20 21:47:35,3:14:17,bO2YXKfK9TY
【収益化記念歌枠】祝!!収益化！記念歌枠～!!日々皆様に感謝です💕【VTuber / マール・アストレア】,10018,236,https://youtu.be/mppkqr6NIB0?si=_aASIQNqVYNGujI2,2023/10/22 22:15:13,2:54:31,mppkqr6NIB0
【Minecraft】Part1 １から始めるみりまるクラフト!!【VTuber / マール・アストレア】,6717,143,https://youtu.be/gbuIMthE8jA?si=a0Z4_Af9R9cpK5Td,2023/10/25 21:53:53,2:44:40,gbuIMthE8jA
【雑談】頂いたマシュマロに答えながら雑談しよう!!..あの頃のマシュマロはどこに...?【VTuber / マール・アストレア】,8611,232,https://youtu.be/HTDFAZzWxsQ?si=dUT7qtPIAqGD602D,2023/10/26 20:24:46,2:16:35,HTDFAZzWxsQ
【お絵描き雑談】マールが描いたイラストを君達は当てられますか⁇【VTuber / マール・アストレア】,7355,158,https://youtu.be/bvsWyLZgYbc?si=GbRkWLJ0yq_KS5bM,2023/10/27 20:14:33,2:38:16,bvsWyLZgYbc
【歌枠】こっそりちょこ～～っと歌枠🎤　【VTuber / マール・アストレア】,8621,247,https://youtu.be/03Sh73XO6Ts?si=ea3HaUBZr3NsXmhp,2023/10/29 21:12:58,1:42:30,03Sh73XO6Ts
【歌枠】ハロウィンコラボ歌枠~!!こんな日は歌ってお話しするしかない!!【VTuber / マール・アストレア】,8479,187,https://youtu.be/sMyYJcqLMZw?si=rvR1WlLOAr6CBY7q,2023/10/31 21:15:30,2:22:37,sMyYJcqLMZw
【スイカゲーム】スイカでも作りながらマールと雑談でもしようじゃないですか【VTuber / マール・アストレア】,9511,232,https://youtu.be/p6yJEZX4FLk?si=8qaU06uAg2BL_Rkx,2023/11/02 23:09:13,2:35:47,p6yJEZX4FLk
【歌枠】~夜にまったり歌枠~寝れない夜のお供にいかがですか【VTuber / マール・アストレア】,15981,361,https://youtu.be/DnFbq9TAY8I?si=t25XnAL3qv3gfUPG,2023/11/04 21:42:05,3:28:30,DnFbq9TAY8I
【2500人記念雑談】登録者2500人本当にありがとうございます!!ということで皆の懺悔を聞かせてください!!【VTuber / マール・アストレア】,10881,343,https://youtu.be/Z7XCYojw2r8?si=AAJjnV-SEMsb2WS_,2023/11/08 21:14:35,1:56:36,Z7XCYojw2r8
【DONT SCREAM】叫んだら即初めから!?風邪の喉労わって今話題のホラーゲームやります【VTuber / マール・アストレア】,7225,241,https://youtu.be/7gL8ZQHTH1w?si=WhEOpHJUYI0z69b4,2023/11/10 21:10:47,2:05:21,7gL8ZQHTH1w
【マリオカート８DX】初めてのマリオカート配信!初心者がまったり走ります!!【VTuber / マール・アストレア】,8592,201,https://youtu.be/faJm3QpDsXo?si=0XE-9qZAw2CSkULO,2023/11/11 21:29:35,3:01:15,faJm3QpDsXo
【世界のアソビ大全51】オンラインで世界中のゲームを遊ぶ!!【VTuber / マール・アストレア】,9910,295,https://youtu.be/pXK8m7-56uc?si=cUEhxkwipYEbZfXW,2023/11/12 21:12:57,2:38:06,pXK8m7-56uc
【記念雑談】お祝い雑談!!全力で祝いに来てください【VTuber / マール・アストレア】,10777,318,https://youtu.be/A4bLI7tXyjI?si=E4CHmBaxcNZifew-,2023/11/14 20:09:26,2:52:24,A4bLI7tXyjI
【漢字でGO!】マールがどれだけ漢字が弱いのかお見せします!!【VTuber / マール・アストレア】,9640,212,https://youtu.be/AU60rilYL7Q?si=VGbGE_oEmu3h0mZh,2023/11/15 20:37:47,2:33:39,AU60rilYL7Q
【歌枠】今日も今日とて歌います!!【VTuber / マール・アストレア】,10023,301,https://youtu.be/SMh9jhKoFZ0?si=y3-sT-XXk1xv2Csg,2023/11/16 20:39:37,2:17:53,SMh9jhKoFZ0
【原神】マール初めてのRPG！完全初見!!【VTuber / マール・アストレア】,10391,261,https://youtu.be/A60I5KmJb9k?si=wJNMMTl0XwNzETWw,2023/11/18 20:40:46,2:42:58,A60I5KmJb9k
【マリオカート８DX】初めての視聴者参加型!!マールの実力見せつけます【VTuber / マール・アストレア】,13986,370,https://youtu.be/CIFi-JQ8saY?si=vMtGcBThRTd6ixGl,2023/11/20 23:19:55,6:36:11,CIFi-JQ8saY
【DQM　テリワンSP】新作に向けて予習!!※ネタバレあり【VTuber / マール・アストレア】,8534,247,https://youtu.be/bLzJGNZyec8?si=2q94ylcJmveuxvM_,2023/11/21 23:17:55,2:54:36,bLzJGNZyec8
【雑談スイカゲーム】雑談メインのスイカゲーム【VTuber / マール・アストレア】,10660,254,https://youtu.be/A5tVUAiYYqU?si=Y-hhIQ6Ypdgs53T3,2023/11/22 23:00:54,3:17:26,A5tVUAiYYqU
【雑談】ざっつだーーーーーん!!【VTuber / マール・アストレア】,9789,234,https://youtu.be/upvj_C2tJhY?si=zXNuoM49DISGB_78,2023/11/24 22:56:36,2:20:18,upvj_C2tJhY
【解禁】祝　メンバーシップ解禁記念配信🐑【VTuber / マール・アストレア】,5252,104,https://youtu.be/k-BCMPAKPhs?si=Wk1KXWO_0rfAs5bd,2023/11/28 21:07:21,0:38:37,k-BCMPAKPhs
【DQM　テリワンSP】part2　進めます!!※ネタバレあり【VTuber / マール・アストレア】,8744,172,https://youtu.be/pS8gngneLYI?si=9vL5BNezXTGrGL9S,2023/11/28 22:16:10,1:47:25,pS8gngneLYI
【CUPHEAD】超高難易度と噂のゲーム‼ゲーム下手なマールにできるか!!【VTuber / マール・アストレア】,5816,193,https://youtu.be/vDa7aXjMOWE?si=jNLj9Ys9zxAFpJYp,2023/11/30 23:01:39,2:31:36,vDa7aXjMOWE
【飲酒雑談コラボ】初のサシ飲み⁇ルーちゃんと飲み明かす🍻【VTuber / マール・アストレア】,19676,336,https://youtu.be/tQ1wi7tule4?si=7QZ4UJ5Vr_SxOHtq,2023/12/01 21:18:40,7:36:11,tQ1wi7tule4
【ドラクエモンスターズ3】♯1　新作モンスターズのんびりやってく※ネタバレあり【VTuber / マール・アストレア】,8059,182,https://youtu.be/JZNS1U268KY?si=13CTzlKspB2eSHlM,2023/12/02 20:44:17,3:47:58,JZNS1U268KY
【記念歌枠】４０００人記念歌枠!!!歌います!!【VTuber / マール・アストレア】,10427,260,https://youtu.be/VA92cs-1hB0?si=hTlbfel_iog3wQEQ,2023/12/05 21:13:39,2:13:54,VA92cs-1hB0
【雑談】復活⁇皆のFA見て見ようざっつだん!!【VTuber / マール・アストレア】,10221,233,https://youtu.be/AgK95z24VwU?si=Nc9KlfUqgt6QFLWh,2023/12/12 22:51:47,2:26:00,AgK95z24VwU
【メン限雑談】歌の練習しつつマールとまったりお話しよう!!!【VTuber / マール・アストレア】,2700,97,https://youtu.be/FOxsFVeyx78?si=078qBsM8eBpo98zN,2023/12/14 21:00:00,3:29:25,FOxsFVeyx78
【世界のアソビ大全51】オンラインで世界中のゲームを遊ぶ!!【VTuber / マール・アストレア】,,,https://youtu.be/r9Dfb-HHQY4?si=qI7Xd6H7wh4ixXuV,2023/12/15 0:29:25,2:41:29,r9Dfb-HHQY4
【8番出口】このホラゲーならあまり怖くないとききました!!【VTuber / マール・アストレア】,6845,224,https://youtu.be/tGpucUu-9Lg?si=fT_a4x5PhYbGxM4y,2023/12/19 21:40:14,2:07:59,tGpucUu-9Lg
【ドラクエモンスターズ3】♯2　今日も新作モンスターズのんびりやってくぞお　※ネタバレあり【VTuber / マール・アストレア】,4777,130,https://youtu.be/lFDT-vA06Zs?si=tj5CnzOu9P2JgtNH,2023/12/20 21:39:30,2:59:52,lFDT-vA06Zs
【ストリートファイター6】格ゲー超初心者!!気合でプレイします!!【VTuber / マール・アストレア】,6397,152,https://youtu.be/U3BjcIidCsU?si=5BqAy3ATLGqKac0R,2023/12/21 22:09:05,3:00:23,U3BjcIidCsU
【雑談】今日も今日とてお話ししましょう!!もしかしたら...?【VTuber / マール・アストレア】,12444,212,https://youtu.be/hZ9MjEz_88s?si=bAqW0GkEKkhv6RuN,2023/12/22 21:14:28,5:04:31,hZ9MjEz_88s
【世界のアソビ大全51】オンラインで遊びます!!【VTuber / マール・アストレア】,7515,141,https://youtu.be/S_bydrGzyvU?si=6NrPYJlL3_3t_r1J,2023/12/26 21:37:18,2:34:06,S_bydrGzyvU
【雑談】今年最後のまったり雑談【VTuber / マール・アストレア】,15291,278,https://youtu.be/6O5XVqlGXVA?si=dEUwJXXXjxV-EAbw,2023/12/28 21:43:51,4:32:43,6O5XVqlGXVA
【雑談】新年初雑談!!久しぶりに皆とお話し!!【VTuber / マール・アストレア】,9996,250,https://youtu.be/33xR1kb6d5Q?si=zDEN16SzXNry7CiK,2024/01/07 22:09:55,3:31:59,33xR1kb6d5Q
【朝活雑談】初めての朝活雑談!皆におはようを伝えたい!!【VTuber / マール・アストレア】,6614,185,https://youtu.be/qDRx6dtCkhc?si=DgTcpse_19A9zYvu,2024/01/11 7:06:51,2:19:22,qDRx6dtCkhc
【メン限雑談】初手元配信!!ねるねるねるね作ってお話!!【VTuber / マール・アストレア】,,,https://youtu.be/yd25l1KknpI?si=MoyrnfBxoreDldJv,2024/01/13 21:00:00,2:55:09,yd25l1KknpI
【リングフィットアドベンチャー】今年は健康に過ごすためにまずは運動します!!【VTuber / マール・アストレア】,9843,218,https://youtu.be/MFOu5qF78_s?si=QTHdqAJEjAe70GBs,2024/01/14 21:41:54,3:14:39,MFOu5qF78_s
【コラボ雑談】るーちゃんと見守って!!できなかった２０２３ブロッコリー忘年会コラボ🥦【VTuber / マール・アストレア】,10473,206,https://youtu.be/VXYPfQI0H4Y?si=Ou_mVhyG7DpocZfe,2024/01/16 22:21:33,3:52:46,VXYPfQI0H4Y
【＃歌枠】約一か月ぶり⁇久しぶり歌枠!!【VTuber / マール・アストレア】,7871,230,https://youtu.be/Wlz2U6t36uM?si=ngqk5oMyOU05rXqf,2024/01/19 22:41:32,4:20:22,Wlz2U6t36uM
【＃雑談】5000人記念マシュマロ懺悔室!!【VTuber / マール・アストレア】,6141,171,https://youtu.be/iWlru0-BV00?si=Kk3HQ2hZ44q_xW8t,2024/01/20 22:40:22,3:48:34,iWlru0-BV00
【＃雑談】皆の作ったマルコラ見て見よう!!!【VTuber / マール・アストレア】,15929,355,https://youtu.be/JVHaH_UelVI?si=R4NaQLWh0tD7hv_c,2024/01/21 22:41:53,2:54:40,JVHaH_UelVI
【メン限ゲリラ】３０分だけ,,,https://youtu.be/JvmufLdgGgA?si=IJlLW2_HnKnSwHa-,2024/01/23 21:00:00,0:33:49,JvmufLdgGgA
【リングフィットアドベンチャー】＃２　寝起き５分で即運動!?朝活リングフィットアドベンチャー【VTuber / マール・アストレア】,6047,128,https://youtu.be/KqxCrPgJjuU?si=UEUcGLNgZzzbldnE,2024/01/27 6:43:46,2:52:19,KqxCrPgJjuU
【メン限】お寿司を食べながら　そろそろ寿司食べないと死ぬぜ！ユニバース　をやります!! 【VTuber / マール・アストレア】,,,https://youtu.be/24AgsAUeONA?si=Y5fDsgAZ2Ewh7jVL,2024/01/30 21:00:00,3:40:35,24AgsAUeONA
【パルワールド/Palworld】　完全初見!!まったりパルワールドやっていきます!!【VTuber / マール・アストレア】,6452,120,https://youtu.be/xep-Wi1Q2v0?si=jpBYHKqSfUMOGmOn,2024/01/31 21:40:09,3:02:16,xep-Wi1Q2v0
【#歌枠 】アカペラでいつもよりまったり歌枠!!【VTuber / マール・アストレア】,4825,141,https://youtu.be/BnCOX5n3nN8?si=sPffwyQZJ3oJmrUu,2024/02/02 21:22:36,2:11:20,BnCOX5n3nN8
【Refind Self: 性格診断ゲーム】マールの本質....ゲームで見抜きます【VTuber / マール・アストレア】,5867,133,https://youtu.be/i5aYt6XCARA?si=s0tgxnjospGvs6yV,2024/02/03 20:43:37,5:23:37,i5aYt6XCARA
【＃雑談】今日もまったりお話雑談【VTuber / マール・アストレア】,6672,176,https://youtu.be/mdsd8fnF9Pc?si=39u5qVEBLOWGJ9oT,2024/02/06 21:43:19,3:26:18,mdsd8fnF9Pc
【モンスターハンターワールド/MHW】1から始めるハンター生活!!【VTuber / マール・アストレア】,2435,88,https://youtu.be/F-Jf8HVVffA?si=wnu3EUYDULdngamM,2024/02/08 21:01:28,2:58:32,F-Jf8HVVffA
【パルワールド/Palworld】＃２　今日もまったりパルワールド!!!【VTuber / マール・アストレア】,4637,104,https://youtu.be/nG1kE1jTVmA?si=dpNl_HjeDP6W28Vh,2024/02/08 21:42:49,4:27:52,nG1kE1jTVmA
【＃雑談】へべれけ！？お酒飲みながらざっつだーん!!!【VTuber / マール・アストレア】,6346,140,https://youtu.be/ZKBdhEHBR9w?si=ADhkuuK6fGYrTt6k,2024/02/10 22:44:00,4:49:07,ZKBdhEHBR9w
【＃マリオカート８DX参加型】視聴者参加型兼１位耐久！？【VTuber / マール・アストレア】,8153,151,https://youtu.be/CasVO9VZ5Sw?si=-eCyNAKJpkJqr-n2,2024/02/11 22:48:33,7:02:50,CasVO9VZ5Sw
【パルワールド/Palworld】＃3　お話ししながらまったり作業します!!【VTuber / マール・アストレア】,5096,91,https://youtu.be/8ancv0g4HfU?si=yFPyxmlfflVlRP89,2024/02/13 21:14:36,4:48:57,8ancv0g4HfU
【＃雑談】マールに聞きたいことある⁇質問コーナー!!【VTuber / マール・アストレア】,7521,169,https://youtu.be/QNohAjEM3Is?si=ZHd3bOwwWd3OsKIa,2024/02/15 21:39:24,3:42:02,QNohAjEM3Is
【＃まあるの大冒険 】マールオリジナルゲーム⁉視聴者さんが作ってくれたゲームで遊ぶ!!【VTuber / マール・アストレア】,16987,276,https://youtu.be/kngLRrjZU5U?si=Jq5TMy5v0FbzySPg,2024/02/16 21:56:21,11:28:19,kngLRrjZU5U
【メグとばけもの】完全初見!少女が泣くと世界が終わる　泣けると話題のゲームします【VTuber / マール・アストレア】,5369,122,https://youtu.be/VU1wK9Z9Iz4?si=kvMZLK_PeTSZbpq-,2024/02/18 22:12:06,4:39:16,VU1wK9Z9Iz4
【メグとばけもの】#2 少女が泣くと世界が終わる【VTuber / マール・アストレア】,4493,94,https://youtu.be/KLFEABubxpE?si=jTOTUKZPO_38r6XX,2024/02/19 22:10:59,3:45:52,KLFEABubxpE
【メン限雑談】こんな夜にはマールと少しお話しよう【VTuber / マール・アストレア】,,,https://youtu.be/iwiImsV0UMc?si=gc36uFwuLu_b1qz4,2024/02/27 21:00:00,1:24:11,iwiImsV0UMc
【#ピクミン2  】コスモノアピクミンリレー!!第二のバトン繋ぎます!!【VTuber / マール・アストレア】,5597,99,https://youtu.be/xLkQo5xWDCE?si=QUnC4hFOQQKtSrQ-,2024/02/27 21:52:20,4:43:10,xLkQo5xWDCE
【#ピクミン2  】コスモノアピクミンリレー!!今日もピクミンやってくどおお!!【VTuber / マール・アストレア】,4510,68,https://youtu.be/ogOHyv9UE-k?si=_UriH9crGA-BIJIY,2024/02/28 22:01:05,3:33:13,ogOHyv9UE-k
【#モンスターハンターワールド/MHW】#2 ハンマー振り回していきます!!1から始めるハンター生活!!【VTuber / マール・アストレア】,1857,62,https://youtu.be/wVw31aiBbWw?si=Ojg3KVAbjrN36GnI,2024/02/27 9:42:00,14:18:00,wVw31aiBbWw
【メン限雑談】スタンプ考えながら雑談!!【VTuber / マール・アストレア】,,,https://youtu.be/98MS3tbzynY?si=dT-MymHxBxyIi3gA,2024/02/29 21:00:00,3:31:34,98MS3tbzynY
【＃歌枠】昭和歌枠!!リベンジです!!【VTuber / マール・アストレア】,5233,115,https://youtu.be/YT_duWF0mcE?si=US3iXuSPQICFYRny,2024/03/03 22:36:31,2:28:47,YT_duWF0mcE
【#ピクミン2  】コスモノアピクミンリレー!!ラスト!!!【VTuber / マール・アストレア】,5343,95,https://youtu.be/Jvr3tAY5IhE?si=bp4Uz4-wO1Vp99p1,2024/03/07 22:26:58,8:06:45,Jvr3tAY5IhE
【#garticphone   】皆でお絵描き伝言ゲーム!?マールの絵伝わるかな!!【VTuber / マール・アストレア】,7277,98,https://youtu.be/Ux1zKYZ7pfk?si=y-MDDtQ5rTiGZMal,2024/03/08 21:40:01,2:52:39,Ux1zKYZ7pfk
【＃雑談】お知らせ雑談!!【VTuber / マール・アストレア】,10013,155,https://youtu.be/Z5C1xtAAXOQ?si=UTstPR0e4GYgLZj4,2024/03/19 22:38:16,2:45:45,Z5C1xtAAXOQ
【メン限雑談】君たちの知恵をマールに分けとくれ!!!!【VTuber / マール・アストレア】,,,https://youtu.be/zdKoYmh5GRE?si=07MWHAlRUSZLIjuY,2024/03/22 21:00:00,3:34:50,zdKoYmh5GRE
【＃雑談】お久しぶり飲酒雑談!!【VTuber / マール・アストレア】,5659,138,https://youtu.be/Ga0VSzWKAWI?si=b0B8Upoh2EZEk12Q,2024/04/06 21:41:03,2:49:04,Ga0VSzWKAWI
【＃皆で空気読み。オンライン】空気読み大得意なマールが空気読み。やります!!【VTuber / マール・アストレア】,3889,108,https://youtu.be/OrkJGbQVnN8?si=6pXoD9kTXr1LR5dL,2024/04/08 22:37:43,2:20:37,OrkJGbQVnN8
【＃記念雑談】祝!!半年記念!!この半年を振り返ろう!!【VTuber / マール・アストレア】,4921,153,https://youtu.be/zLSexCfHG9A?si=Q9HRKRintgo-yaZz,2024/04/11 22:12:38,2:31:03,zLSexCfHG9A
【#fallguys 】参加型!!フォールガイズやるど~!!!スナイプOK!!【VTuber / マール・アストレア】,3551,75,https://youtu.be/7wGSeOIWAjs?si=hgqip5s5-GfYss5v,2024/04/16 21:55:53,2:40:39,7wGSeOIWAjs
【＃歌枠】ボカロ縛り!!＃shorts #縦型配信,4522,102,https://youtu.be/dufACGkNw8s?si=MW_TH0TceISGyYqz,2024/04/19 21:00:00,1:34:32,dufACGkNw8s
【#poppyplaytime 】ゲーム苦手なマールが怖いおもちゃ工場に向かいます【VTuber / マール・アストレア】,3314,86,https://youtu.be/r8LzN99p6Lg?si=KnQpWEWg_ggtLHda,2024/04/20 21:09:14,2:08:22,r8LzN99p6Lg
【メン限雑談】今日はお話するぞ!!いつもか!!【VTuber / マール・アストレア】,,,https://youtu.be/W9mZ1QviD0A?si=56QjxBJZBq6vFyzT,2024/04/24 21:00:00,,W9mZ1QviD0A
【#記念配信 】誕生日カウントダウン!!!【VTuber / マール・アストレア】,3484,106,https://youtu.be/ocb9VAM3tTk?si=xx6HgbE18z-bXAGu,2024/04/27 23:11:08,2:34:44,ocb9VAM3tTk
【歌ってみた/cover】カタオモイ /Aimer【VTuber / マール・アストレア】,5582,283,https://youtu.be/GMtHfff57RY?si=2Rvyz3mfvhgWVujP,2024/04/28 19:00:07,0:03:33,GMtHfff57RY
【#記念配信 】誕生日雑談！！【VTuber / マール・アストレア】,4832,96,https://youtu.be/ShRB2w2UUAk?si=llGYFhxbO01mcWpD,2024/04/28 21:40:22,2:07:27,ShRB2w2UUAk
【雑談】最近のことについてお話します【VTuber / マール・アストレア】,4068,102,https://youtu.be/vFqqt_VCTY8?si=cMsWZEbdy_FTTgiq,2024/05/09 21:33:14,0:30:03,vFqqt_VCTY8
【#バニーガーデン  】完全初見！バニーちゃんに囲まれてお酒飲もう/ネタバレあり【VTuber / マール・アストレア】,4682,127,https://youtu.be/yAgaFrx35bY?si=h3Q-HWpJwWEoN_Vg,2024/05/09 22:12:51,3:37:24,yAgaFrx35bY
【#バニーガーデン  】完全初見！たまりにたまった借金返済します/ネタバレあり【VTuber / マール・アストレア】,3205,75,https://youtu.be/VouMgzHeav8?si=Pmt2d9dRLNHDG8IY,2024/05/10 21:41:45,3:13:33,VouMgzHeav8
【人生ゲーム 】人生ゲームをしながら人生についてまったり語う【VTuber / マール・アストレア】,885,38,https://youtu.be/kT1QmnFxjus?si=ssswkVKc2FNC9jxW,2024/05/11 20:21:29,3:38:31,kT1QmnFxjus
【#全国一般常識チェック  】じょうしき...ちぇっく...します【VTuber / マール・アストレア】,3025,69,https://youtu.be/v7qYH3AwQd8?si=Uvlt38_YJ_klvfCe,2024/05/13 21:07:50,2:27:57,v7qYH3AwQd8
【＃歌枠】少し歌います!!!!!【VTuber / マール・アストレア】,5980,100,https://youtu.be/5aT5SdtZrAk?si=ynFfBvi4EqJZgvqW,2024/05/14 22:06:14,0:46:55,5aT5SdtZrAk
【#雑談】引退します。今までありがとうございました！【VTuber / マール・アストレア】,11473,284,https://youtu.be/LKwnzQ5Vs68?si=20VFMAQmwKBkFcEi,2024/05/31 22:36:35,1:31:15,LKwnzQ5Vs68
超短いスペース開きます,,,https://x.com/i/spaces/1MnxnMXbPmYJO,2024/03/06 22:35:00,0:57:06,
マールの偏見タグ読みます。,,,https://x.com/i/spaces/1BdxYrVAeeZKX,2024/02/22 22:30:00,3:32:16,
30分お風呂スペ,,,https://x.com/i/spaces/1mrxmyznLedxy,2024/02/10 1:57:00,0:38:02,
まーるの人生初お風呂スペースです,,,https://x.com/i/spaces/1gqGvQDLdMwKB,2024/01/11 22:40:00,1:25:46,
近況報告??少しだけスペース,,,https://x.com/i/spaces/1YqGoDPgObEJv,2023/12/10 22:44:00,0:21:20,
パソコン配信できないので少しだけお話しよう,,,https://x.com/i/spaces/1lPJqbgeWolxb,2023/11/29 17:05:00,1:31:38,
モイ！iPhoneからキャス配信中 -初めてのツイキャスですゆっくり雑談 / 初めてのツイキャス まったりラジオ雑談,,,https://youtu.be/MhGvF8SVruY?si=6AiCjBbMXkkULg5N,2024/01/22 22:30:00,1:59:43,MhGvF8SVruY
モイ！iPhoneからキャス配信中 - / 初めてのツイキャス まったりラジオ雑談,,,https://youtu.be/BQ9kbPYujBQ?si=meE29h3ymERuF0IC,2024/01/27 22:11:00,1:29:52,BQ9kbPYujBQ
モイ！iPhoneからキャス配信中 - / 初めてのツイキャス まったりラジオ雑談,,,https://youtu.be/zyFB5Y_DcO0?si=M_9HOpOLu95PAEYy,2024/02/23 21:02:00,3:59:58,zyFB5Y_DcO0
モイ！iPhoneからキャス配信中 - / 初めてのツイキャス まったりラジオ雑談,,,https://youtu.be/2rH-uSWLtWo?si=5SXO8yK34A80b8K8,2024/04/12 22:30:00,2:59:53,2rH-uSWLtWo
モイ！iPhoneからキャス配信中 - / 初めてのツイキャス まったりラジオ雑談,,,https://youtu.be/j-j_1XFWGhI?si=KFa7dbB2HASOW0tQ,2024/04/18 21:30:00,3:29:57,j-j_1XFWGhI
モイ！iPhoneからキャス配信中 - / 話そうじゃないか,,,https://youtu.be/9JxRYHgp79I?si=eYwnhmaZhrQj_eL7,2024/04/20 23:30:00,1:59:58,9JxRYHgp79I